a	a1
bảng	b aNG3
bảnh	b EXNJ3
bảo	b aw3
bảu	b aXw3
bảy	b aXj3
bấc	b 7Xk5
bấm	b 7Xm5
bấn	b 7Xn5
bấp	b 7Xp5
bất	b 7Xt5
bấu	b 7Xw5
bấy	b 7Xj5
bầm	b 7Xm2
bần	b 7Xn2
bầng	b 7XNG2
bầu	b 7Xw2
bầy	b 7Xj2
bẩm	b 7Xm3
bẩn	b 7Xn3
bẩy	b 7Xj3
bẫm	b 7Xm4
bẫy	b 7Xj4
bậc	b 7Xk6
bậm	b 7Xm6
bận	b 7Xn6
bập	b 7Xp6
bật	b 7Xt6
bậu	b 7Xw6
bậy	b 7Xj6
bắc	b aXk5
bắn	b aXn5
bắng	b aXNG5
bắp	b aXp5
bắt	b aXt5
bằm	b aXm2
bằn	b aXn2
bằng	b aXNG2
bẳn	b aXn3
bẵng	b aXNG4
bặm	b aXm6
bặn	b aXn6
bặng	b aXNG6
bặp	b aXp6
bặt	b aXt6
bẹ	b E6
bẹn	b En6
bẹo	b Ew6
bẹp	b Ep6
bẹt	b Et6
bẻ	b E3
bẻm	b Em3
bẻo	b Ew3
bẽ	b E4
bẽn	b En4
bẽo	b Ew4
bế	b e5
bến	b en5
bếp	b ep5
bết	b et5
bề	b e2
bền	b en2
bềnh	b eNJ2
bều	b ew2
bể	b e3
bễ	b e4
bệ	b e6
bệch	b ek6
bện	b en6
bệnh	b eNJ6
bệt	b et6
bệu	b ew6
bỉ	b i3
bỉm	b im3
bỉnh	b iNJ3
bỉu	b iw3
bị	b i6
bịa	b ie6
bịch	b ik6
bịn	b in6
bịnh	b iNJ6
bịp	b ip6
bịt	b it6
bịu	b iw6
bọ	b O6
bọc	b OXk6
bọn	b On6
bọng	b OXNG6
bọp	b Op6
bọt	b Ot6
bỏ	b O3
bỏi	b Oj3
bỏm	b Om3
bỏng	b OXNG3
bố	b o5
bốc	b ok5
bối	b oj5
bốn	b on5
bống	b oNG5
bốp	b op5
bốt	b ot5
bồ	b o2
bồi	b oj2
bồm	b om2
bồn	b on2
bồng	b oNG2
bổ	b o3
bổi	b oj3
bổn	b on3
bổng	b oNG3
bỗ	b o4
bỗng	b oNG4
bộ	b o6
bộc	b ok6
bội	b oj6
bộn	b on6
bộng	b oNG6
bộp	b op6
bột	b ot6
bớ	b 75
bới	b 7j5
bớp	b 7p5
bớt	b 7t5
bờ	b 72
bời	b 7j2
bờm	b 7m2
bờn	b 7n2
bở	b 73
bởi	b 7j3
bỡ	b 74
bỡn	b 7n4
bợ	b 76
bợm	b 7m6
bợn	b 7n6
bợp	b 7p6
bợt	b 7t6
bụ	b u6
bụa	b uo6
bục	b uk6
bụi	b uj6
bụm	b um6
bụng	b uNG6
bụp	b up6
bụt	b ut6
bủ	b u3
bủa	b uo3
bủm	b um3
bủn	b un3
bủng	b uNG3
bứ	b M5
bức	b Mk5
bứng	b MNG5
bứt	b Mt5
bừa	b M72
bừng	b MNG2
bửa	b M73
bửng	b MNG3
bửu	b Mw3
bữa	b M74
bự	b M6
bựa	b M76
bực	b Mk6
bựt	b Mt6
c       ss e1
ca	k a1
cai	k aj1
cam	k am1
can	k an1
canh	k EXNJ1
cao	k aw1
cau	k aXw1
cay	k aXj1
cha	c a1
chai	c aj1
chan	c an1
chang	c aNG1
chanh	c EXNJ1
chao	c aw1
chau	c aXw1
chay	c aXj1
che	c E1
chem	c Em1
chen	c En1
cheng	c ENG1
cheo	c Ew1
chi	c i1
chia	c ie1
chim	c im1
chinh	c iNJ1
chiu	c iw1
chiêm	c iem1
chiên	c ien1
chiêng	c ieNG1
chiêu	c iew1
chiếc	c iek5
chiếm	c iem5
chiến	c ien5
chiếng	c ieNG5
chiếp	c iep5
chiết	c iet5
chiếu	c iew5
chiền	c ien2
chiềng	c ieNG2
chiều	c iew2
chiểu	c iew3
chiện	c ien6
cho	c O1
choang	c waNG1
choi	c Oj1
chong	c OXNG1
choài	c waj2
choàng	c waNG2
choá	c wa5
choái	c waj5
choán	c wan5
choáng	c waNG5
choãi	c waj4
choèn	c wEn2
choé	c wE5
choòng	c ONG2
choăn	c waXn1
choạc	c wak6
choạng	c waNG6
choạp	c wap6
choảng	c waNG3
choắt	c waXt5
choẹt	c wEt6
chu	c u1
chua	c uo1
chui	c uj1
chum	c um1
chun	c un1
chung	c uNG1
chuyên	c wien1
chuyến	c wien5
chuyền	c wien2
chuyển	c wien3
chuyện	c wien6
chuôi	c uoj1
chuôm	c uom1
chuông	c uoNG1
chuẩn	c w7Xn3
chuếch	c wek5
chuệch	c wek6
chuốc	c uok5
chuối	c uoj5
chuốt	c uot5
chuồi	c uoj2
chuồn	c uon2
chuồng	c uoNG2
chuỗi	c uoj4
chuộc	c uok6
chuội	c uoj6
chuộng	c uoNG6
chuột	c uot6
chà	c a2
chài	c aj2
chàm	c am2
chàng	c aNG2
chành	c EXNJ2
chào	c aw2
chày	c aXj2
chá	c a5
chác	c ak5
chái	c aj5
chán	c an5
cháng	c aNG5
chánh	c EXNJ5
cháo	c aw5
chát	c at5
cháu	c aXw5
cháy	c aXj5
châm	c 7Xm1
chân	c 7Xn1
châu	c 7Xw1
chây	c 7Xj1
chã	c a4
chãi	c aj4
chão	c aw4
chè	c E2
chèn	c En2
chèo	c Ew2
ché	c E5
chém	c Em5
chén	c En5
chéo	c Ew5
chép	c Ep5
chét	c Et5
chê	c e1
chêm	c em1
chênh	c eNJ1
chì	c i2
chìa	c ie2
chìm	c im2
chình	c iNJ2
chìu	c iw2
chí	c i5
chích	c ik5
chím	c im5
chín	c in5
chính	c iNJ5
chíp	c ip5
chít	c it5
chíu	c iw5
chò	c O2
chòi	c Oj2
chòm	c Om2
chòng	c OXNG2
chó	c O5
chóc	c OXk5
chóe	c wE5
chói	c Oj5
chóng	c OXNG5
chóp	c Op5
chót	c Ot5
chôm	c om1
chôn	c on1
chông	c oNG1
chõ	c O4
chõm	c Om4
chõng	c OXNG4
chù	c u2
chùa	c uo2
chùi	c uj2
chùm	c um2
chùn	c un2
chùng	c uNG2
chùy	c wi2
chú	c u5
chúa	c uo5
chúc	c uk5
chúi	c uj5
chúm	c um5
chúng	c uNG5
chút	c ut5
chăm	c aXm1
chăn	c aXn1
chăng	c aXNG1
chĩa	c ie4
chĩn	c in4
chĩnh	c iNJ4
chũi	c uj4
chũm	c um4
chũn	c un4
chơ	c 71
chơi	c 7j1
chơm	c 7m1
chơn	c 7n1
chư	c M1
chưa	c M71
chưn	c Mn1
chưng	c MNG1
chương	c M7NG1
chước	c M7k5
chướng	c M7NG5
chườm	c M7m2
chường	c M7NG2
chưởi	c M7j3
chưởng	c M7NG3
chưỡng	c M7NG4
chược	c M7k6
chượp	c M7p6
chạ	c a6
chạc	c ak6
chạch	c EXk6
chạm	c am6
chạn	c an6
chạng	c aNG6
chạnh	c EXNJ6
chạo	c aw6
chạp	c ap6
chạt	c at6
chạy	c aXj6
chả	c a3
chải	c aj3
chảnh	c EXNJ3
chảo	c aw3
chảu	c aXw3
chảy	c aXj3
chấm	c 7Xm5
chấn	c 7Xn5
chấp	c 7Xp5
chất	c 7Xt5
chấu	c 7Xw5
chấy	c 7Xj5
chầm	c 7Xm2
chần	c 7Xn2
chầu	c 7Xw2
chầy	c 7Xj2
chẩm	c 7Xm3
chẩn	c 7Xn3
chẫu	c 7Xw4
chậc	c 7Xk6
chậm	c 7Xm6
chận	c 7Xn6
chập	c 7Xp6
chật	c 7Xt6
chậu	c 7Xw6
chắc	c aXk5
chắm	c aXm5
chắn	c aXn5
chắp	c aXp5
chắt	c aXt5
chằm	c aXm2
chằn	c aXn2
chằng	c aXNG2
chẳng	c aXNG3
chẵn	c aXn4
chặc	c aXk6
chặm	c aXm6
chặn	c aXn6
chặng	c aXNG6
chặp	c aXp6
chặt	c aXt6
chẹn	c En6
chẹo	c Ew6
chẹp	c Ep6
chẹt	c Et6
chẻ	c E3
chẻm	c Em3
chẻn	c En3
chẻo	c Ew3
chẽ	c E4
chẽn	c En4
chế	c e5
chếch	c ek5
chếnh	c eNJ5
chết	c et5
chề	c e2
chềm	c em2
chềnh	c eNJ2
chểnh	c eNJ3
chễm	c em4
chễnh	c eNJ4
chệ	c e6
chệch	c ek6
chện	c en6
chệnh	c eNJ6
chỉ	c i3
chỉn	c in3
chỉnh	c iNJ3
chị	c i6
chịa	c ie6
chịt	c it6
chịu	c iw6
chọ	c O6
chọc	c OXk6
chọe	c wE6
chọi	c Oj6
chọn	c On6
chọt	c Ot6
chỏ	c O3
chỏm	c Om3
chỏn	c On3
chỏng	c OXNG3
chốc	c ok5
chối	c oj5
chốn	c on5
chống	c oNG5
chốp	c op5
chốt	c ot5
chồ	c o2
chồi	c oj2
chồm	c om2
chồn	c on2
chồng	c oNG2
chổi	c oj3
chổm	c om3
chổng	c oNG3
chỗ	c o4
chỗm	c om4
chộ	c o6
chội	c oj6
chộn	c on6
chộp	c op6
chột	c ot6
chớ	c 75
chới	c 7j5
chớm	c 7m5
chớp	c 7p5
chớt	c 7t5
chờ	c 72
chờm	c 7m2
chờn	c 7n2
chở	c 73
chởm	c 7m3
chợ	c 76
chợn	c 7n6
chợp	c 7p6
chợt	c 7t6
chục	c uk6
chụm	c um6
chụp	c up6
chụt	c ut6
chủ	c u3
chủn	c un3
chủng	c uNG3
chứ	c M5
chứa	c M75
chức	c Mk5
chứng	c MNG5
chừ	c M2
chừa	c M72
chừng	c MNG2
chửa	c M73
chửi	c Mj3
chửng	c MNG3
chữ	c M4
chữa	c M74
chững	c MNG4
chực	c Mk6
co	k O1
coi	k Oj1
com	k Om1
con	k On1
cong	k OXNG1
coong	k ONG1
coóc	k Ok5
cu	k u1
cua	k uo1
cui	k uj1
cum	k um1
cun	k un1
cung	k uNG1
cuốc	k uok5
cuối	k uoj5
cuốn	k uon5
cuống	k uoNG5
cuồn	k uon2
cuồng	k uoNG2
cuỗm	k uom4
cuộc	k uok6
cuội	k uoj6
cuộn	k uon6
cuộng	k uoNG6
cà	k a2
cài	k aj2
càn	k an2
càng	k aNG2
cành	k EXNJ2
cào	k aw2
càu	k aXw2
cày	k aXj2
cá	k a5
các	k ak5
cách	k EXk5
cái	k aj5
cám	k am5
cán	k an5
cáng	k aNG5
cánh	k EXNJ5
cáo	k aw5
cáp	k ap5
cát	k at5
cáu	k aXw5
cáy	k aXj5
câm	k 7Xm1
cân	k 7Xn1
câng	k 7XNG1
câu	k 7Xw1
cây	k 7Xj1
cãi	k aj4
cò	k O2
còi	k Oj2
còm	k Om2
còn	k On2
còng	k OXNG2
có	k O5
cóc	k OXk5
cói	k Oj5
cóng	k OXNG5
cóp	k Op5
cót	k Ot5
cô	k o1
côi	k oj1
côm	k om1
côn	k on1
công	k oNG1
cõi	k Oj4
cõng	k OXNG4
cù	k u2
cùi	k uj2
cùm	k um2
cùn	k un2
cùng	k uNG2
cú	k u5
cúa	k uo5
cúc	k uk5
cúi	k uj5
cúm	k um5
cúng	k uNG5
cúp	k up5
cút	k ut5
căm	k aXm1
căn	k aXn1
căng	k aXNG1
cũ	k u4
cũi	k uj4
cũn	k un4
cũng	k uNG4
cơ	k 71
cơi	k 7j1
cơm	k 7m1
cơn	k 7n1
cư	k M1
cưa	k M71
cưng	k MNG1
cưu	k Mw1
cương	k M7NG1
cước	k M7k5
cưới	k M7j5
cướp	k M7p5
cười	k M7j2
cườm	k M7m2
cường	k M7NG2
cưỡi	k M7j4
cưỡng	k M7NG4
cạ	k a6
cạc	k ak6
cạch	k EXk6
cạm	k am6
cạn	k an6
cạnh	k EXNJ6
cạo	k aw6
cạp	k ap6
cạu	k aXw6
cạy	k aXj6
cả	k a3
cải	k aj3
cảm	k am3
cản	k an3
cảng	k aNG3
cảnh	k EXNJ3
cảo	k aw3
cảu	k aXw3
cảy	k aXj3
cấc	k 7Xk5
cấm	k 7Xm5
cấn	k 7Xn5
cấp	k 7Xp5
cất	k 7Xt5
cấu	k 7Xw5
cấy	k 7Xj5
cầm	k 7Xm2
cần	k 7Xn2
cầu	k 7Xw2
cầy	k 7Xj2
cẩm	k 7Xm3
cẩn	k 7Xn3
cẩu	k 7Xw3
cẩy	k 7Xj3
cẫm	k 7Xm4
cẫn	k 7Xn4
cẫng	k 7XNG4
cận	k 7Xn6
cập	k 7Xp6
cật	k 7Xt6
cậu	k 7Xw6
cậy	k 7Xj6
cắc	k aXk5
cắm	k aXm5
cắn	k aXn5
cắp	k aXp5
cắt	k aXt5
cằm	k aXm2
cằn	k aXn2
cẳn	k aXn3
cẳng	k aXNG3
cẵng	k aXNG4
cặc	k aXk6
cặm	k aXm6
cặn	k aXn6
cặp	k aXp6
cặt	k aXt6
cọ	k O6
cọc	k OXk6
cọm	k Om6
cọn	k On6
cọng	k OXNG6
cọp	k Op6
cọt	k Ot6
cỏ	k O3
cỏi	k Oj3
cỏm	k Om3
cỏn	k On3
cỏng	k OXNG3
cố	k o5
cốc	k ok5
cối	k oj5
cốm	k om5
cốn	k on5
cống	k oNG5
cốp	k op5
cốt	k ot5
cồ	k o2
cồm	k om2
cồn	k on2
cồng	k oNG2
cổ	k o3
cổi	k oj3
cổn	k on3
cổng	k oNG3
cỗ	k o4
cỗi	k oj4
cộ	k o6
cộc	k ok6
cội	k oj6
cộm	k om6
cộn	k on6
cộng	k oNG6
cộp	k op6
cột	k ot6
cớ	k 75
cớm	k 7m5
cớn	k 7n5
cớt	k 7t5
cờ	k 72
cời	k 7j2
cờn	k 7n2
cởi	k 7j3
cỡ	k 74
cỡi	k 7j4
cỡm	k 7m4
cỡn	k 7n4
cợn	k 7n6
cợt	k 7t6
cụ	k u6
cục	k uk6
cụi	k uj6
cụm	k um6
cụng	k uNG6
cụp	k up6
cụt	k ut6
củ	k u3
của	k uo3
củi	k uj3
củn	k un3
củng	k uNG3
cứ	k M5
cứa	k M75
cức	k Mk5
cứng	k MNG5
cứt	k Mt5
cứu	k Mw5
cừ	k M2
cừu	k Mw2
cử	k M3
cửa	k M73
cửi	k Mj3
cửng	k MNG3
cửu	k Mw3
cữ	k M4
cữu	k Mw4
cự	k M6
cựa	k M76
cực	k Mk6
cựu	k Mw6
da	z a1
dai	z aj1
dam	z am1
dan	z an1
dang	z aNG1
danh	z EXNJ1
dao	z aw1
day	z aXj1
de	z E1
deo	z Ew1
di	z i1
dim	z im1
dinh	z iNJ1
diêm	z iem1
diên	z ien1
diêu	z iew1
diếc	z iek5
diếp	z iep5
diết	z iet5
diếu	z iew5
diềm	z iem2
diều	z iew2
diễm	z iem4
diễn	z ien4
diễu	z iew4
diệc	z iek6
diệm	z iem6
diện	z ien6
diệp	z iep6
diệt	z iet6
diệu	z iew6
do	z O1
doa	z wa1
doan	z wan1
doanh	z wEXNJ1
doi	z Oj1
dom	z Om1
don	z On1
dong	z OXNG1
doành	z wEXNJ2
doá	z wa5
doãi	z waj4
doãn	z wan4
doãng	z waNG4
du	z u1
dua	z uo1
dun	z un1
dung	z uNG1
duy	z wi1
duyên	z wien1
duyệt	z wiet6
duềnh	z weNJ2
duốc	z uok5
duỗi	z uoj4
dà	z a2
dài	z aj2
dàn	z an2
dàng	z aNG2
dành	z EXNJ2
dào	z aw2
dàu	z aXw2
dày	z aXj2
dá	z a5
dác	z ak5
dái	z aj5
dám	z am5
dán	z an5
dáng	z aNG5
dát	z at5
dáy	z aXj5
dâm	z 7Xm1
dân	z 7Xn1
dâng	z 7XNG1
dâu	z 7Xw1
dây	z 7Xj1
dã	z a4
dãi	z aj4
dãy	z aXj4
dè	z E2
dèn	z En2
dé	z E5
dép	z Ep5
dê	z e1
dênh	z eNJ1
dì	z i2
dìa	z ie2
dìm	z im2
dìu	z iw2
dí	z i5
dích	z ik5
dím	z im5
dính	z iNJ5
díp	z ip5
díu	z iw5
dò	z O2
dòi	z Oj2
dòm	z Om2
dòng	z OXNG2
dó	z O5
dóa	z wa5
dóc	z OXk5
dóm	z Om5
dón	z On5
dót	z Ot5
dô	z o1
dôi	z oj1
dông	z oNG1
dõi	z Oj4
dõng	z OXNG4
dù	z u2
dùa	z uo2
dùi	z uj2
dùm	z um2
dùn	z un2
dùng	z uNG2
dúa	z uo5
dúi	z uj5
dúm	z um5
dún	z un5
dúng	z uNG5
dút	z ut5
dăm	z aXm1
dăn	z aXn1
dăng	z aXNG1
dĩ	z i4
dĩa	z ie4
dĩnh	z iNJ4
dũ	z u4
dũi	z uj4
dũng	z uNG4
dơ	z 71
dơi	z 7j1
dư	z M1
dưa	z M71
dưng	z MNG1
dương	z M7NG1
dưới	z M7j5
dướn	z M7n5
dướng	z M7NG5
dường	z M7NG2
dưỡng	z M7NG4
dược	z M7k6
dượng	z M7NG6
dượt	z M7t6
dạ	z a6
dạc	z ak6
dại	z aj6
dạm	z am6
dạn	z an6
dạng	z aNG6
dạo	z aw6
dạt	z at6
dạy	z aXj6
dả	z a3
dải	z aj3
dảy	z aXj3
dấm	z 7Xm5
dấn	z 7Xn5
dấp	z 7Xp5
dấu	z 7Xw5
dấy	z 7Xj5
dầm	z 7Xm2
dần	z 7Xn2
dầu	z 7Xw2
dầy	z 7Xj2
dẩn	z 7Xn3
dẫm	z 7Xm4
dẫn	z 7Xn4
dẫu	z 7Xw4
dẫy	z 7Xj4
dậm	z 7Xm6
dận	z 7Xn6
dập	z 7Xp6
dật	z 7Xt6
dậu	z 7Xw6
dậy	z 7Xj6
dắng	z aXNG5
dắt	z aXt5
dằm	z aXm2
dằn	z aXn2
dằng	z aXNG2
dẳng	z aXNG3
dặc	z aXk6
dặm	z aXm6
dặn	z aXn6
dặng	z aXNG6
dặt	z aXt6
dẹp	z Ep6
dẹt	z Et6
dẻ	z E3
dẻo	z Ew3
dẽ	z E4
dế	z e5
dề	z e2
dềnh	z eNJ2
dể	z e3
dễ	z e4
dện	z en6
dệt	z et6
dị	z i6
dịch	z ik6
dịp	z ip6
dịt	z it6
dịu	z iw6
dịệp	z iep6
dọa	z wa6
dọc	z OXk6
dọi	z Oj6
dọn	z On6
dọng	z OXNG6
dọp	z Op6
dỏ	z O3
dỏm	z Om3
dỏng	z OXNG3
dốc	z ok5
dối	z oj5
dốt	z ot5
dồ	z o2
dồi	z oj2
dồn	z on2
dỗ	z o4
dỗi	z oj4
dội	z oj6
dộng	z oNG6
dột	z ot6
dớ	z 75
dớp	z 7p5
dờ	z 72
dời	z 7j2
dở	z 73
dởm	z 7m3
dỡ	z 74
dợ	z 76
dụ	z u6
dục	z uk6
dụm	z um6
dụng	z uNG6
dứ	z M5
dứa	z M75
dức	z Mk5
dứt	z Mt5
dừ	z M2
dừa	z M72
dừng	z MNG2
dử	z M3
dửng	z MNG3
dữ	z M4
dự	z M6
dựa	z M76
dực	z Mk6
dựng	z MNG6
e	E1
em	Em1
en	En1
eng	ENG1
eo	Ew1
ga	G a1
gai	G aj1
gam	G am1
gan	G an1
gang	G aNG1
ganh	G EXNJ1
gao	G aw1
gau	G aXw1
gay	G aXj1
gen	G En1
ghe	G E1
ghen	G En1
ghi	G i1
ghim	G im1
ghiếc	G iek5
ghiền	G ien2
ghè	G E2
ghèn	G En2
ghé	G E5
ghém	G Em5
ghép	G Ep5
ghét	G Et5
ghê	G e1
ghì	G i2
ghìm	G im2
ghẹ	G E6
ghẹn	G En6
ghẹo	G Ew6
ghẻ	G E3
ghẽ	G E4
ghế	G e5
ghếch	G ek5
ghề	G e2
ghềnh	G eNJ2
ghểnh	G eNJ3
ghệt	G et6
gi	z i1
gia	z a1
giai	z aj1
giam	z am1
gian	z an1
giang	z aNG1
gianh	z EXNJ1
giao	z aw1
gieo	z Ew1
gio	z O1
gioi	z Oj1
gion	z On1
giong	z OXNG1
gip	z ip1
giu	z u1
giua	z uo1
giun	z un1
giuộc	z uok6
già	z a2
giàn	z an2
giàng	z aNG2
giành	z EXNJ2
giào	z aw2
giàu	z aXw2
giày	z aXj2
giá	z a5
giác	z ak5
giám	z am5
gián	z an5
giáng	z aNG5
giáo	z aw5
giáp	z ap5
giát	z at5
giâm	z 7Xm1
giâu	z 7Xw1
giây	z 7Xj1
giã	z a4
giãi	z aj4
giãn	z an4
giãy	z aXj4
gièm	z Em2
gié	z E5
giéo	z Ew5
giê	z e1
giêng	z ieNG1
giò	z O2
giòi	z Oj2
giòn	z On2
gió	z O5
gióc	z OXk5
giói	z Oj5
gión	z On5
gióng	z OXNG5
giô	z o1
giôn	z on1
giông	z oNG1
giùi	z uj2
giùm	z um2
giú	z u5
giúi	z uj5
giúp	z up5
giăm	z aXm1
giăng	z aXNG1
giũ	z u4
giũa	z uo4
giơ	z 71
giương	z M7NG1
giướng	z M7NG5
giường	z M7NG2
giượng	z M7NG6
giạ	z a6
giại	z aj6
giạng	z aNG6
giạt	z at6
giả	z a3
giải	z aj3
giảm	z am3
giản	z an3
giảng	z aNG3
giảnh	z EXNJ3
giảo	z aw3
giảu	z aXw3
giấc	z 7Xk5
giấm	z 7Xm5
giấp	z 7Xp5
giấu	z 7Xw5
giấy	z 7Xj5
giầm	z 7Xm2
giần	z 7Xn2
giầu	z 7Xw2
giầy	z 7Xj2
giẫm	z 7Xm4
giẫy	z 7Xj4
giậm	z 7Xm6
giận	z 7Xn6
giập	z 7Xp6
giật	z 7Xt6
giậu	z 7Xw6
giắn	z aXn5
giắt	z aXt5
giằm	z aXm2
giằn	z aXn2
giằng	z aXNG2
giặc	z aXk6
giặm	z aXm6
giặn	z aXn6
giặt	z aXt6
giẹo	z Ew6
giẹp	z Ep6
giẻ	z E3
giếc	z iek5
giếm	z em5
giếng	z ieNG5
giết	z iet5
giề	z e2
giền	z en2
giềng	z ieNG2
giễu	z iew4
giọ	z O6
giọc	z OXk6
giọi	z Oj6
giọng	z OXNG6
giọt	z Ot6
giỏ	z O3
giỏi	z Oj3
giỏn	z On3
giỏng	z OXNG3
giối	z oj5
giống	z oNG5
giốt	z ot5
giồ	z o2
giồi	z oj2
giồng	z oNG2
giổi	z oj3
giỗ	z o4
giộ	z o6
giội	z oj6
giộp	z op6
giới	z 7j5
giờ	z 72
giời	z 7j2
giờn	z 7n2
giở	z 73
giỡn	z 7n4
giụa	z uo6
giục	z uk6
giụi	z uj6
giủi	z uj3
giừ	z M2
giừơng	z M7NG2
giữ	z M4
giữa	z M74
giựt	z Mt6
go	G O1
gom	G Om1
gon	G On1
goá	G wa5
goòng	G ONG2
gu	G u1
guitar  G i1 t a1
guốc	G uok5
guồi	G uoj2
guồng	G uoNG2
guộc	G uok6
gà	G a2
gài	G aj2
gàn	G an2
gàng	G aNG2
gành	G EXNJ2
gào	G aw2
gàu	G aXw2
gá	G a5
gác	G ak5
gái	G aj5
gán	G an5
gánh	G EXNJ5
gáo	G aw5
gáp	G ap5
gáu	G aXw5
gáy	G aXj5
gâm	G 7Xm1
gân	G 7Xn1
gâu	G 7Xw1
gây	G 7Xj1
gã	G a4
gãi	G aj4
gãy	G aXj4
gì	z i2
gìm	z im2
gìn	z in2
gí	z i5
gích	z ik5
gíp	z ip5
gò	G O2
gòn	G On2
góa	G wa5
góc	G OXk5
gói	G Oj5
góp	G Op5
gót	G Ot5
gô	G o1
gôm	G om1
gôn	G on1
gông	G oNG1
gõ	G O4
gù	G u2
gùi	G uj2
gùn	G un2
gùng	G uNG2
gút	G ut5
găm	G aXm1
găn	G aXn1
găng	G aXNG1
gũi	G uj4
gơ	G 71
gươm	G M7m1
gương	G M7NG1
gườm	G M7m2
gường	G M7NG2
gưỡng	G M7NG4
gượm	G M7m6
gượng	G M7NG6
gạ	G a6
gạc	G ak6
gạch	G EXk6
gạn	G an6
gạnh	G EXNJ6
gạo	G aw6
gạt	G at6
gả	G a3
gảy	G aXj3
gấc	G 7Xk5
gấm	G 7Xm5
gấp	G 7Xp5
gấu	G 7Xw5
gấy	G 7Xj5
gầm	G 7Xm2
gần	G 7Xn2
gầu	G 7Xw2
gầy	G 7Xj2
gẩm	G 7Xm3
gẫm	G 7Xm4
gẫu	G 7Xw4
gậm	G 7Xm6
gập	G 7Xp6
gật	G 7Xt6
gậy	G 7Xj6
gắm	G aXm5
gắn	G aXn5
gắng	G aXNG5
gắp	G aXp5
gắt	G aXt5
gằm	G aXm2
gằn	G aXn2
gặc	G aXk6
gặm	G aXm6
gặn	G aXn6
gặng	G aXNG6
gặp	G aXp6
gặt	G aXt6
gỉ	z i3
gọi	G Oj6
gọn	G On6
gọng	G OXNG6
gọt	G Ot6
gỏi	G Oj3
gỏng	G OXNG3
gốc	G ok5
gối	G oj5
gốm	G om5
gồ	G o2
gồi	G oj2
gồm	G om2
gồng	G oNG2
gổ	G o3
gỗ	G o4
gộ	G o6
gộc	G ok6
gội	G oj6
gộp	G op6
